"LOCATION"	"Pays"	"VARIABLE"	"Variable"	"FREQUENCY"	"Fréquence"	"TIME"	"Temps"	"Unit Code"	"Unit"	"PowerCode Code"	"PowerCode"	"Reference Period Code"	"Reference Period"	"Value"	"Flag Codes"	"Flags"
"AUT"	"Autriche"	"UNR"	"Taux de chômage"	"Q"	"Trimestrielle"	"2018-Q1"	"T1-2018"	"PC"	"Pourcentage"	"0"	"Unités"			5.01515811218866		
"AUT"	"Autriche"	"UNR"	"Taux de chômage"	"Q"	"Trimestrielle"	"2018-Q2"	"T2-2018"	"PC"	"Pourcentage"	"0"	"Unités"			4.77693215962242		
"AUT"	"Autriche"	"UNR"	"Taux de chômage"	"Q"	"Trimestrielle"	"2018-Q3"	"T3-2018"	"PC"	"Pourcentage"	"0"	"Unités"			4.90635372667584		
"AUT"	"Autriche"	"UNR"	"Taux de chômage"	"Q"	"Trimestrielle"	"2018-Q4"	"T4-2018"	"PC"	"Pourcentage"	"0"	"Unités"			4.6939469168296		
"AUT"	"Autriche"	"UNR"	"Taux de chômage"	"Q"	"Trimestrielle"	"2019-Q1"	"T1-2019"	"PC"	"Pourcentage"	"0"	"Unités"			4.69074869067794		
"AUT"	"Autriche"	"UNR"	"Taux de chômage"	"Q"	"Trimestrielle"	"2019-Q2"	"T2-2019"	"PC"	"Pourcentage"	"0"	"Unités"			4.62014591540521		
"AUT"	"Autriche"	"UNR"	"Taux de chômage"	"Q"	"Trimestrielle"	"2019-Q3"	"T3-2019"	"PC"	"Pourcentage"	"0"	"Unités"			4.57286964112082		
"AUT"	"Autriche"	"UNR"	"Taux de chômage"	"Q"	"Trimestrielle"	"2019-Q4"	"T4-2019"	"PC"	"Pourcentage"	"0"	"Unités"			4.52556993373179		
"AUT"	"Autriche"	"UNR"	"Taux de chômage"	"Q"	"Trimestrielle"	"2020-Q1"	"T1-2020"	"PC"	"Pourcentage"	"0"	"Unités"			4.52500088052791		
"AUT"	"Autriche"	"UNR"	"Taux de chômage"	"Q"	"Trimestrielle"	"2020-Q2"	"T2-2020"	"PC"	"Pourcentage"	"0"	"Unités"			4.54405776657976		
"AUT"	"Autriche"	"UNR"	"Taux de chômage"	"Q"	"Trimestrielle"	"2020-Q3"	"T3-2020"	"PC"	"Pourcentage"	"0"	"Unités"			4.56311084886181		
"AUT"	"Autriche"	"UNR"	"Taux de chômage"	"Q"	"Trimestrielle"	"2020-Q4"	"T4-2020"	"PC"	"Pourcentage"	"0"	"Unités"			4.56311084886186		
"AUT"	"Autriche"	"UNR"	"Taux de chômage"	"Q"	"Trimestrielle"	"2021-Q1"	"T1-2021"	"PC"	"Pourcentage"	"0"	"Unités"			4.56311084886183		
"AUT"	"Autriche"	"UNR"	"Taux de chômage"	"Q"	"Trimestrielle"	"2021-Q2"	"T2-2021"	"PC"	"Pourcentage"	"0"	"Unités"			4.57263548849766		
"AUT"	"Autriche"	"UNR"	"Taux de chômage"	"Q"	"Trimestrielle"	"2021-Q3"	"T3-2021"	"PC"	"Pourcentage"	"0"	"Unités"			4.59168286664367		
"AUT"	"Autriche"	"UNR"	"Taux de chômage"	"Q"	"Trimestrielle"	"2021-Q4"	"T4-2021"	"PC"	"Pourcentage"	"0"	"Unités"			4.62024823105481		
"BEL"	"Belgique"	"UNR"	"Taux de chômage"	"Q"	"Trimestrielle"	"2018-Q1"	"T1-2018"	"PC"	"Pourcentage"	"0"	"Unités"			6.09999999999999		
"BEL"	"Belgique"	"UNR"	"Taux de chômage"	"Q"	"Trimestrielle"	"2018-Q2"	"T2-2018"	"PC"	"Pourcentage"	"0"	"Unités"			6.26666666666667		
"BEL"	"Belgique"	"UNR"	"Taux de chômage"	"Q"	"Trimestrielle"	"2018-Q3"	"T3-2018"	"PC"	"Pourcentage"	"0"	"Unités"			5.73333333333334		
"BEL"	"Belgique"	"UNR"	"Taux de chômage"	"Q"	"Trimestrielle"	"2018-Q4"	"T4-2018"	"PC"	"Pourcentage"	"0"	"Unités"			5.80000000000001		
"BEL"	"Belgique"	"UNR"	"Taux de chômage"	"Q"	"Trimestrielle"	"2019-Q1"	"T1-2019"	"PC"	"Pourcentage"	"0"	"Unités"			5.53333333333334		
"BEL"	"Belgique"	"UNR"	"Taux de chômage"	"Q"	"Trimestrielle"	"2019-Q2"	"T2-2019"	"PC"	"Pourcentage"	"0"	"Unités"			5.5		
"BEL"	"Belgique"	"UNR"	"Taux de chômage"	"Q"	"Trimestrielle"	"2019-Q3"	"T3-2019"	"PC"	"Pourcentage"	"0"	"Unités"			5.51886039317429		
"BEL"	"Belgique"	"UNR"	"Taux de chômage"	"Q"	"Trimestrielle"	"2019-Q4"	"T4-2019"	"PC"	"Pourcentage"	"0"	"Unités"			5.49999623432299		
"BEL"	"Belgique"	"UNR"	"Taux de chômage"	"Q"	"Trimestrielle"	"2020-Q1"	"T1-2020"	"PC"	"Pourcentage"	"0"	"Unités"			5.49339180115247		
"BEL"	"Belgique"	"UNR"	"Taux de chômage"	"Q"	"Trimestrielle"	"2020-Q2"	"T2-2020"	"PC"	"Pourcentage"	"0"	"Unités"			5.49622258337815		
"BEL"	"Belgique"	"UNR"	"Taux de chômage"	"Q"	"Trimestrielle"	"2020-Q3"	"T3-2020"	"PC"	"Pourcentage"	"0"	"Unités"			5.50009162427393		
"BEL"	"Belgique"	"UNR"	"Taux de chômage"	"Q"	"Trimestrielle"	"2020-Q4"	"T4-2020"	"PC"	"Pourcentage"	"0"	"Unités"			5.49538861540697		
"BEL"	"Belgique"	"UNR"	"Taux de chômage"	"Q"	"Trimestrielle"	"2021-Q1"	"T1-2021"	"PC"	"Pourcentage"	"0"	"Unités"			5.47892050311565		
"BEL"	"Belgique"	"UNR"	"Taux de chômage"	"Q"	"Trimestrielle"	"2021-Q2"	"T2-2021"	"PC"	"Pourcentage"	"0"	"Unités"			5.46244624026848		
"BEL"	"Belgique"	"UNR"	"Taux de chômage"	"Q"	"Trimestrielle"	"2021-Q3"	"T3-2021"	"PC"	"Pourcentage"	"0"	"Unités"			5.44626251154835		
"BEL"	"Belgique"	"UNR"	"Taux de chômage"	"Q"	"Trimestrielle"	"2021-Q4"	"T4-2021"	"PC"	"Pourcentage"	"0"	"Unités"			5.43479921857069		
"CAN"	"Canada"	"UNR"	"Taux de chômage"	"Q"	"Trimestrielle"	"2018-Q1"	"T1-2018"	"PC"	"Pourcentage"	"0"	"Unités"			5.84488471161003		
"CAN"	"Canada"	"UNR"	"Taux de chômage"	"Q"	"Trimestrielle"	"2018-Q2"	"T2-2018"	"PC"	"Pourcentage"	"0"	"Unités"			5.91946867318243		
"CAN"	"Canada"	"UNR"	"Taux de chômage"	"Q"	"Trimestrielle"	"2018-Q3"	"T3-2018"	"PC"	"Pourcentage"	"0"	"Unités"			5.89439702231586		
"CAN"	"Canada"	"UNR"	"Taux de chômage"	"Q"	"Trimestrielle"	"2018-Q4"	"T4-2018"	"PC"	"Pourcentage"	"0"	"Unités"			5.67358784097205		
"CAN"	"Canada"	"UNR"	"Taux de chômage"	"Q"	"Trimestrielle"	"2019-Q1"	"T1-2019"	"PC"	"Pourcentage"	"0"	"Unités"			5.78059548288726		
"CAN"	"Canada"	"UNR"	"Taux de chômage"	"Q"	"Trimestrielle"	"2019-Q2"	"T2-2019"	"PC"	"Pourcentage"	"0"	"Unités"			5.54586704796229		
"CAN"	"Canada"	"UNR"	"Taux de chômage"	"Q"	"Trimestrielle"	"2019-Q3"	"T3-2019"	"PC"	"Pourcentage"	"0"	"Unités"			5.63672499559523		
"CAN"	"Canada"	"UNR"	"Taux de chômage"	"Q"	"Trimestrielle"	"2019-Q4"	"T4-2019"	"PC"	"Pourcentage"	"0"	"Unités"			5.63672499559518		
"CAN"	"Canada"	"UNR"	"Taux de chômage"	"Q"	"Trimestrielle"	"2020-Q1"	"T1-2020"	"PC"	"Pourcentage"	"0"	"Unités"			5.68347421727572		
"CAN"	"Canada"	"UNR"	"Taux de chômage"	"Q"	"Trimestrielle"	"2020-Q2"	"T2-2020"	"PC"	"Pourcentage"	"0"	"Unités"			5.75365895577838		
"CAN"	"Canada"	"UNR"	"Taux de chômage"	"Q"	"Trimestrielle"	"2020-Q3"	"T3-2020"	"PC"	"Pourcentage"	"0"	"Unités"			5.80044295681134		
"CAN"	"Canada"	"UNR"	"Taux de chômage"	"Q"	"Trimestrielle"	"2020-Q4"	"T4-2020"	"PC"	"Pourcentage"	"0"	"Unités"			5.82383785667648		
"CAN"	"Canada"	"UNR"	"Taux de chômage"	"Q"	"Trimestrielle"	"2021-Q1"	"T1-2021"	"PC"	"Pourcentage"	"0"	"Unités"			5.81213822763618		
"CAN"	"Canada"	"UNR"	"Taux de chômage"	"Q"	"Trimestrielle"	"2021-Q2"	"T2-2021"	"PC"	"Pourcentage"	"0"	"Unités"			5.77704805261822		
